step,train_error,val_error,test_error,gap,val_error_raw,test_error_raw,gap_raw,seed,K,m1,eta_mode
100,1.3818175792694092,0.0827235451766422,0.0967707481384277,0.0140472029617854,0.1746352953570229,0.2041132144927978,0.0294779191357748,100,300,500,exp
150,1.3925853729248048,0.0859819448419979,0.1033167009353637,0.0173347560933658,0.1963633405310767,0.2192922897338867,0.02292894920281,100,300,500,exp
200,1.3702749252319335,0.0938590211527688,0.109442400932312,0.0155833797795432,0.2112452685832977,0.233794147491455,0.0225488789081573,100,300,500,exp
250,1.3522639989852905,0.100818249796118,0.1182677364349365,0.0174494866388184,0.2110289526837212,0.2546204090118408,0.0435914563281195,100,300,500,exp
300,1.354654026031494,0.1156049775225775,0.127625991821289,0.0120210142987114,0.2266014005456652,0.2770808219909668,0.0504794214453016,100,300,500,exp
10,1.3479118347167969,0.1127786125455583,0.1300845756530761,0.0173059631075177,0.2545506528445652,0.2829978504180908,0.0284471975735255,100,300,500,exp
100,1.3336543321609498,0.1233617950763021,0.1472016668319702,0.0238398717556681,0.2867200438465391,0.3255344848632812,0.0388144410167421,100,300,500,exp
150,1.3291342973709106,0.1338613320674215,0.1566834440231323,0.0228221119557108,0.2963522119181497,0.3498754043579101,0.0535231924397604,100,300,500,exp
200,1.3264834880828855,0.1417752962027277,0.1669083938598632,0.0251330976571355,0.3327048016445977,0.3765414161682129,0.0438366145236151,100,300,500,exp
250,1.3261240005493165,0.1534375473856926,0.176606351852417,0.0231688044667243,0.3439071646758488,0.4025370559692383,0.0586298912933894,100,300,500,exp
300,1.3231671571731567,0.15513419679233,0.1856574401855468,0.0305232433932167,0.3759905397891998,0.427502010345459,0.0515114705562591,100,300,500,exp
10,1.1516985654830934,0.0407451314053365,0.048171358346939,0.0074262269416025,0.0850575324147939,0.1040198516845703,0.0189623192697763,100,300,500,exp
100,1.3353322505950929,0.1661426637853895,0.1932373638153076,0.0270947000299181,0.3871070912906101,0.455666561126709,0.0685594698360988,100,300,500,exp
150,1.3688880920410156,0.1660801672509738,0.1978483772277832,0.0317682099768093,0.4076560969863619,0.4706874694824218,0.0630313724960599,100,300,500,exp
200,1.367152714729309,0.1881255198802267,0.2053563632965087,0.017230843416282,0.4265347591468266,0.4933946723937988,0.0668599132469722,100,300,500,exp
250,1.3835919857025147,0.1826304048299789,0.2132029876708984,0.0305725828409194,0.4180737265518733,0.5173277359008789,0.0992540093490055,100,300,500,exp
300,1.3976051092147828,0.1872411710875375,0.2178048572540283,0.0305636861664908,0.4310178330966404,0.5329974937438965,0.101979660647256,100,300,500,exp
0,0.2946533143520355,0.2896217448370797,0.2898831310272217,0.0002613861901419,0.659747702734811,0.661393798828125,0.001646096093314,101,300,500,exp
10,0.2950103998184204,0.2846729627677372,0.2851284065246582,0.0004554437569209,0.6489570651735578,0.649734245300293,0.0007771801267352,101,300,500,exp
100,0.2852842092514038,0.2490219516413552,0.251156946182251,0.0021349945408957,0.5555957981518337,0.5621576499938965,0.0065618518420628,101,300,500,exp
150,0.285028749704361,0.2329592853784561,0.2367778053283691,0.003818519949913,0.5188961114202227,0.5264871406555176,0.0075910292352948,101,300,500,exp
200,0.2894261479377746,0.2199511336428778,0.2251817016601562,0.0052305680172783,0.4870319068431854,0.498557144165039,0.0115252373218536,101,300,500,exp
250,0.3070250749588012,0.2112285558666501,0.2186555995941162,0.007427043727466,0.4651146956852504,0.484027214050293,0.0189125183650425,101,300,500,exp
300,0.3460146903991699,0.2098211944103241,0.2203832130432129,0.0105620186328888,0.4644397156579153,0.4915390090942382,0.0270992934363228,101,300,500,exp
10,0.3566173553466797,0.2095366588660649,0.2221177902221679,0.012581131356103,0.4708587740148817,0.4971483306884766,0.0262895566735948,101,300,500,exp
100,0.5022776365280152,0.2071323863097599,0.2263589763641357,0.0192265900543757,0.4726392243589674,0.526788101196289,0.0541488768373216,101,300,500,exp
150,0.5840758323669434,0.1882406579596655,0.2109294986724853,0.0226888407128197,0.4381651793207441,0.5041163711547851,0.065951191834041,101,300,500,exp
200,0.6550175905227661,0.1670304856130055,0.190837532043457,0.0238070464304515,0.3816815657275064,0.4692653884887695,0.0875838227612631,101,300,500,exp
250,0.7007267594337463,0.1470613117728914,0.1741437635421752,0.0270824517692838,0.3548804436411176,0.4406935195922851,0.0858130759511675,101,300,500,exp
300,0.7225443363189697,0.1285244971513748,0.1611357421875,0.0326112450361251,0.3342013869966779,0.4182646064758301,0.0840632194791521,101,300,500,exp
10,0.7035822987556457,0.0957415231636592,0.1190297145843505,0.0232881914206913,0.233175978064537,0.295753942489624,0.0625779644250869,101,300,500,exp
100,0.7340470671653747,0.1196475486670221,0.1444801025390625,0.0248325538720403,0.3018104412725994,0.3909118595123291,0.0891014182397297,101,300,500,exp
150,0.7321277022361755,0.1115000673702785,0.1390550470352173,0.0275549796649387,0.2927912729127066,0.3828556652069091,0.0900643922942025,101,300,500,exp
200,0.7289642095565796,0.1008464427930968,0.1360257501602172,0.0351793073671204,0.2837737138782228,0.3812158851623535,0.0974421712841306,101,300,500,exp
250,0.7258429765701294,0.1005057607378278,0.1347196025848388,0.034213841847011,0.2833497843572071,0.3844078044891357,0.1010580201319286,101,300,500,exp
300,0.7215890645980835,0.1014030511890139,0.1327356414794921,0.0313325902904782,0.2879366342510496,0.3844572353363037,0.0965206010852541,101,300,500,exp
10,0.7202937960624695,0.1015292054840496,0.1325040111541748,0.0309748056701251,0.2890326614890779,0.3850425205230713,0.0960098590339933,101,300,500,exp
100,0.7134510755538941,0.1070546763283865,0.1328351688385009,0.0257804925101143,0.3136661180428096,0.3977352828979492,0.0840691648551396,101,300,500,exp
150,0.7065864682197571,0.1024464017578533,0.1336669521331787,0.0312205503753253,0.2889278637511389,0.4070163021087646,0.1180884383576257,101,300,500,exp
200,0.7062339186668396,0.1049124928457396,0.1344332189559936,0.0295207261102539,0.279859048979623,0.4159660758972168,0.1361070269175938,101,300,500,exp
250,0.7041802287101746,0.1090328586953026,0.1355590629577636,0.0265262042624609,0.3244002227272306,0.4263783321380615,0.1019781094108309,101,300,500,exp
300,0.7027454018592835,0.1052183349217687,0.1368803625106811,0.0316620275889124,0.3217728010245732,0.4376398086547851,0.1158670076302119,101,300,500,exp
10,0.7283435702323914,0.0496661921164819,0.0695621871948242,0.0198959950783423,0.1355414667299815,0.1904259424209594,0.0548844756909779,101,300,500,exp
100,0.6955012202262878,0.1044229396751948,0.133605694770813,0.0291827550956181,0.3262498357466289,0.4365188407897949,0.110269005043166,101,300,500,exp
150,0.6951176881790161,0.1054964193275996,0.1376952743530273,0.0321988550254276,0.3572648678507124,0.4598014259338379,0.1025365580831255,101,300,500,exp
200,0.6949525237083435,0.1081913539341517,0.1402117776870727,0.0320204237529209,0.3521879549537386,0.4769341773986816,0.124746222444943,101,300,500,exp
250,0.6918885707855225,0.1084991065519196,0.142985800743103,0.0344866941911833,0.3851003455264227,0.4958242301940918,0.110723884667669,101,300,500,exp
